Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
filet-mignon-capico,Filet mignon capico,"<p>Curabitur egestas malesuada volutpat. Nunc vel vestibulum odio, ac pellentesque lacus. Pellentesque dapibus nunc nec est imperdiet, a malesuada sem rutrum. Sed quam odio, porta a finibus quis, sagittis aliquet leo. Nunc ornare metus urna, eu luctus velit placerat ut. Cras at porttitor lectus. Ut dapibus aliquam nibh, in imperdiet libero tincidunt sit amet. Morbi sodales fermentum nibh nec facilisis. Morbi pharetra varius velit, eget varius libero finibus quis. Quisque auctor varius lectus, lacinia rhoncus velit posuere vel. Cras condimentum tincidunt urna, sed vehicula ipsum dapibus et. Pellentesque pharetra ultrices varius. Sed viverra nec purus ut ornare.</p>
<h3>Phasellus elementum:</h3>
<ul>
<li>Aenean auctor sem ac ex efficitur</li>
<li>Non mattis odio bibendum</li>
<li>Sed vitae enim at tortor finibus</li>
<li>Integer facilisis eleifend vehicula</li>
<li>In hac habitasse platea dictumst</li>
</ul>
<p>Sed molestie orci sem, at semper est molestie ac. Suspendisse cursus feugiat erat, eu posuere massa. Nullam posuere nibh non eros lobortis tempus. Maecenas dignissim elementum massa, vel accumsan urna elementum in. Suspendisse at dui euismod, rhoncus eros non, imperdiet ipsum. Vestibulum vehicula vel turpis et vestibulum. Ut porta et ex maximus malesuada.</p>",ss-homestore,"",deal 2019/9/9,true,Title,Default Title,,,,,"",0,shopify,10,deny,manual,56.00,67.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/8.jpg?v=1547094028,1,,false,,,,,,,,,,,,,,,,,kg,,
filet-mignon-capico,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/11.jpg?v=1547094030,2,,,,,,,,,,,,,,,,,,,,,
filet-mignon-capico,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/5_dec54f9e-c0fd-4a5c-94ad-8a3500f368b1.jpg?v=1547094032,3,,,,,,,,,,,,,,,,,,,,,
copy-of-salami-cow-tri-tip,Chuck cupim spare,"<p>Curabitur egestas malesuada volutpat. Nunc vel vestibulum odio, ac pellentesque lacus. Pellentesque dapibus nunc nec est imperdiet, a malesuada sem rutrum. Sed quam odio, porta a finibus quis, sagittis aliquet leo. Nunc ornare metus urna, eu luctus velit placerat ut. Cras at porttitor lectus. Ut dapibus aliquam nibh, in imperdiet libero tincidunt sit amet. Morbi sodales fermentum nibh nec facilisis. Morbi pharetra varius velit, eget varius libero finibus quis. Quisque auctor varius lectus, lacinia rhoncus velit posuere vel. Cras condimentum tincidunt urna, sed vehicula ipsum dapibus et. Pellentesque pharetra ultrices varius. Sed viverra nec purus ut ornare.Home2</p>
<h3>Phasellus elementum:</h3>
<ul>
<li>Aenean auctor sem ac ex efficitur</li>
<li>Non mattis odio bibendum</li>
<li>Sed vitae enim at tortor finibus</li>
<li>Integer facilisis eleifend vehicula</li>
<li>In hac habitasse platea dictumst</li>
</ul>
<p>Sed molestie orci sem, at semper est molestie ac. Suspendisse cursus feugiat erat, eu posuere massa. Nullam posuere nibh non eros lobortis tempus. Maecenas dignissim elementum massa, vel accumsan urna elementum in. Suspendisse at dui euismod, rhoncus eros non, imperdiet ipsum. Vestibulum vehicula vel turpis et vestibulum. Ut porta et ex maximus malesuada.</p>",Adidas,Nikes,"0 - $99, Black, deal 2019/9/9, Fashion, White",true,Title,Default Title,,,,,"",0,,1,deny,manual,76.00,80.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/15_003f59ef-8d7e-4b9e-bbb7-975ba7829664.jpg?v=1544778587,1,,false,,,,,,,,,,,,,,,,,kg,,
copy-of-salami-cow-tri-tip,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/5_0b2e0808-c405-455f-a02a-0fb7b3fa0980.jpg?v=1544778597,2,,,,,,,,,,,,,,,,,,,,,
copy-of-salami-cow-tri-tip,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/6_74b347ec-017f-4191-8133-4a37f06ccfdf.jpg?v=1544778602,3,,,,,,,,,,,,,,,,,,,,,
copy-of-salami-cow-tri-tip,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/4_86b4a962-efd0-4736-8ebd-e98015468ae0.jpg?v=1544778611,4,,,,,,,,,,,,,,,,,,,,,
copy-of-xapicola-consectetur-fatba,Chuck sausage nisi,"<p>Curabitur egestas malesuada volutpat. Nunc vel vestibulum odio, ac pellentesque lacus. Pellentesque dapibus nunc nec est imperdiet, a malesuada sem rutrum. Sed quam odio, porta a finibus quis, sagittis aliquet leo. Nunc ornare metus urna, eu luctus velit placerat ut. Cras at porttitor lectus. Ut dapibus aliquam nibh, in imperdiet libero tincidunt sit amet. Morbi sodales fermentum nibh nec facilisis. Morbi pharetra varius velit, eget varius libero finibus quis. Quisque auctor varius lectus, lacinia rhoncus velit posuere vel. Cras condimentum tincidunt urna, sed vehicula ipsum dapibus et. Pellentesque pharetra ultrices varius. Sed viverra nec purus ut ornare.</p>
<h3>Phasellus elementum:</h3>
<ul>
<li>Aenean auctor sem ac ex efficitur</li>
<li>Non mattis odio bibendum</li>
<li>Sed vitae enim at tortor finibus</li>
<li>Integer facilisis eleifend vehicula</li>
<li>In hac habitasse platea dictumst</li>
</ul>
<p>Sed molestie orci sem, at semper est molestie ac. Suspendisse cursus feugiat erat, eu posuere massa. Nullam posuere nibh non eros lobortis tempus. Maecenas dignissim elementum massa, vel accumsan urna elementum in. Suspendisse at dui euismod, rhoncus eros non, imperdiet ipsum. Vestibulum vehicula vel turpis et vestibulum. Ut porta et ex maximus malesuada.</p>",Adidas,Nikes,"$100 - $199, Black, deal 2019/8/8, Sliver, White",true,Title,Default Title,,,,,"",0,,1,deny,manual,124.00,132.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/16.jpg?v=1544778738,1,,false,,,,,,,,,,,,,,,,,kg,,
copy-of-xapicola-consectetur-fatba,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/4_bcd4c5ce-ae19-456c-94bc-194688ed60d7.jpg?v=1544778747,2,,,,,,,,,,,,,,,,,,,,,
copy-of-xapicola-consectetur-fatba,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/6_37394fab-2fd4-4fbc-86e5-3c522d1a7685.jpg?v=1544778755,3,,,,,,,,,,,,,,,,,,,,,
copy-of-hillum-strip-steak,Beef t-bone pig bacon,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sede eiusmod tempor incididunt ut labore et doloreme gna aliqua. Duis aute irure dolor in reprehenderit in voluptatevelit esse pariatur. Duis aute irure reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim vexercitation ullamco laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Ut enim ad minim vexercitation ullamco laboris nisi ut aliq uip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eusm fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit,</p>",Sports,Nikes,"0 - $99, New, Under$69, White",true,Title,Default Title,,,,,"",0,,1,deny,manual,54.00,,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/6_d378949d-59fa-4bdd-83dc-a3edbc00e2d3.jpg?v=1544778083,1,,false,,,,,,,,,,,,,,,,,kg,,
copy-of-hillum-strip-steak,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/7_73516ff4-8f49-42c4-8860-d7378d246ce4.jpg?v=1544778094,2,,,,,,,,,,,,,,,,,,,,,
copy-of-hillum-strip-steak,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/8_1464b7ec-d4a9-48f3-8aaa-46f80e960686.jpg?v=1544778102,3,,,,,,,,,,,,,,,,,,,,,
copy-of-hillum-strip-steak,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/10_6178a87a-822a-48c5-93db-fdc5927facfe.jpg?v=1544778108,4,,,,,,,,,,,,,,,,,,,,,
copy-of-hillum-strip-steak,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/11_9451492d-15e1-4608-8a87-b7cd8a057b98.jpg?v=1544778118,5,,,,,,,,,,,,,,,,,,,,,
copy-of-bacon-shank-spare,Cillum strip steak,"<p>Curabitur egestas malesuada volutpat. Nunc vel vestibulum odio, ac pellentesque lacus. Pellentesque dapibus nunc nec est imperdiet, a malesuada sem rutrum. Sed quam odio, porta a finibus quis, sagittis aliquet leo. Nunc ornare metus urna, eu luctus velit placerat ut. Cras at porttitor lectus. Ut dapibus aliquam nibh, in imperdiet libero tincidunt sit amet. Morbi sodales fermentum nibh nec facilisis. Morbi pharetra varius velit, eget varius libero finibus quis. Quisque auctor varius lectus, lacinia rhoncus velit posuere vel. Cras condimentum tincidunt urna, sed vehicula ipsum dapibus et. Pellentesque pharetra ultrices varius. Sed viverra nec purus ut ornare.</p>
<h3>Phasellus elementum:</h3>
<ul>
<li>Aenean auctor sem ac ex efficitur</li>
<li>Non mattis odio bibendum</li>
<li>Sed vitae enim at tortor finibus</li>
<li>Integer facilisis eleifend vehicula</li>
<li>In hac habitasse platea dictumst</li>
</ul>
<p>Sed molestie orci sem, at semper est molestie ac. Suspendisse cursus feugiat erat, eu posuere massa. Nullam posuere nibh non eros lobortis tempus. Maecenas dignissim elementum massa, vel accumsan urna elementum in. Suspendisse at dui euismod, rhoncus eros non, imperdiet ipsum. Vestibulum vehicula vel turpis et vestibulum. Ut porta et ex maximus malesuada.</p>",Home2,Nikes,"0 - $99, Apple, Black, deal 2019/7/8, Glass Table, Pant Amchair, White",true,Title,Default Title,,,,,"",0,,1,deny,manual,68.00,78.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/12_4b870b56-b889-47ff-9ee2-82a784f528f6.jpg?v=1545105148,1,,false,,,,,,,,,,,,,,,,,kg,,
copy-of-bacon-shank-spare,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/5.jpg?v=1545105154,2,,,,,,,,,,,,,,,,,,,,,
copy-of-bacon-shank-spare,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/6_336cf001-09d5-4575-adca-8cb1d9f4c3f4.jpg?v=1545105159,3,,,,,,,,,,,,,,,,,,,,,
copy-of-bacon-shank-spare,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/7.jpg?v=1545105165,4,,,,,,,,,,,,,,,,,,,,,
copy-of-doner-ham-nulla,Bacon shank spare,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sede eiusmod tempor incididunt ut labore et doloreme gna aliqua. Duis aute irure dolor in reprehenderit in voluptatevelit esse pariatur. Duis aute irure reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim vexercitation ullamco laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Ut enim ad minim vexercitation ullamco laboris nisi ut aliq uip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eusm fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit,</p>",Sports,Nikes,"$100 - $199, Black, Fitness, Football, Shirt, Tennis, Yoga",true,Title,Default Title,,,,,"",0,shopify,0,deny,manual,100.00,,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/4_63cd2f8a-ad14-4397-8862-0061a0b7ea53.jpg?v=1544777942,1,,false,,,,,,,,,,,,,,,,,kg,,
copy-of-doner-ham-nulla,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/5_ef9a69f6-90eb-4426-9c8d-cc2c75061c1c.jpg?v=1544777949,2,,,,,,,,,,,,,,,,,,,,,
copy-of-doner-ham-nulla,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/6_5585278a-52d1-4bef-9947-632582a24e80.jpg?v=1544777957,3,,,,,,,,,,,,,,,,,,,,,
copy-of-doner-ham-nulla,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/10_7d0b3f8d-40c1-4ff4-abb3-2ee2191b1df6.jpg?v=1544777965,4,,,,,,,,,,,,,,,,,,,,,
copy-of-doner-ham-nulla,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/11_e15d1ed0-5364-4611-a04a-0f88d859869c.jpg?v=1544777972,5,,,,,,,,,,,,,,,,,,,,,
copy-of-chuck-meatloaf-pastram,Ceiusmod ea salami,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sede eiusmod tempor incididunt ut labore et doloreme gna aliqua. Duis aute irure dolor in reprehenderit in voluptatevelit esse pariatur. Duis aute irure reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim vexercitation ullamco laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Ut enim ad minim vexercitation ullamco laboris nisi ut aliq uip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eusm fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit,</p>",Fitness,Nikes,"$100 - $199, Black, deal 2019/9/9, White",true,Title,Default Title,,,,,"",0,,1,deny,manual,169.00,140.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/14_5155e02d-09c7-4a0c-bbcc-e3c5795b7c50.jpg?v=1544778497,1,,false,,,,,,,,,,,,,,,,,kg,,
copy-of-chuck-meatloaf-pastram,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/11_045d2aa3-6d3c-4b89-9f4f-1d9ada3e1500.jpg?v=1544778505,2,,,,,,,,,,,,,,,,,,,,,
